,Class,F1 score,Accuracy,Precision,Recall,Specificity
340,zebra,0.9591837,0.94,0.9791667,0.94,0.99998
341,"hog, pig, grunter, squealer, Sus scrofa",0.6436782,0.56,0.7567568,0.56,0.9998198
342,"wild boar, boar, Sus scrofa",0.8333333,0.9,0.7758621,0.9,0.99973977
343,warthog,0.8952381,0.94,0.8545455,0.94,0.99983984
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.875,0.84,0.9130435,0.84,0.9999199
345,ox,0.63414633,0.52,0.8125,0.52,0.9998799
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.7676767,0.76,0.7755102,0.76,0.99977976
347,bison,0.9,0.9,0.9,0.9,0.9998999
348,"ram, tup",0.5633803,0.4,0.95238096,0.4,0.99998
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.75969,0.98,0.62025315,0.98,0.9993994
350,"ibex, Capra ibex",0.9215687,0.94,0.90384614,0.94,0.9998999
351,hartebeest,0.9,0.9,0.9,0.9,0.9998999
352,"impala, Aepyceros melampus",0.81904763,0.86,0.7818182,0.86,0.99975973
353,gazelle,0.74725276,0.68,0.8292683,0.68,0.99985987
354,"Arabian camel, dromedary, Camelus dromedarius",0.8990826,0.98,0.8305085,0.98,0.9997998
355,llama,0.8842105,0.84,0.93333334,0.84,0.9999399
356,weasel,0.53658533,0.44,0.6875,0.44,0.9997998
357,mink,0.74766356,0.8,0.7017544,0.8,0.99965966
358,"polecat, fitch, foulmart, foumart, Mustela putorius",0.5242719,0.54,0.509434,0.54,0.9994795
359,"black-footed ferret, ferret, Mustela nigripes",0.6530613,0.64,0.6666667,0.64,0.9996797
360,otter,0.7916667,0.76,0.82608694,0.76,0.99983984
361,"skunk, polecat, wood pussy",0.9423077,0.98,0.9074074,0.98,0.9998999
362,badger,0.8737864,0.9,0.8490566,0.9,0.99983984
363,armadillo,0.8823529,0.9,0.86538464,0.9,0.99985987
364,"three-toed sloth, ai, Bradypus tridactylus",0.95238096,1.0,0.90909094,1.0,0.9998999
365,"orangutan, orang, orangutang, Pongo pygmaeus",0.9292929,0.92,0.93877554,0.92,0.9999399
366,"gorilla, Gorilla gorilla",0.847826,0.78,0.9285714,0.78,0.9999399
367,"chimpanzee, chimp, Pan troglodytes",0.8653845,0.9,0.8333333,0.9,0.9998198
368,"gibbon, Hylobates lar",0.7551021,0.74,0.7708333,0.74,0.99977976
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.8627451,0.88,0.84615386,0.88,0.99983984
370,"guenon, guenon monkey",0.8453609,0.82,0.87234044,0.82,0.9998799
371,"patas, hussar monkey, Erythrocebus patas",0.6868687,0.68,0.6938776,0.68,0.9996997
372,baboon,0.8363636,0.92,0.76666665,0.92,0.99971974
373,macaque,0.7378641,0.76,0.7169811,0.76,0.9996997
374,langur,0.7333333,0.66,0.825,0.66,0.99985987
375,"colobus, colobus monkey",0.9148936,0.86,0.97727275,0.86,0.99998
376,"proboscis monkey, Nasalis larvatus",0.92592597,1.0,0.86206895,1.0,0.99983984
377,marmoset,0.7311828,0.68,0.7906977,0.68,0.9998198
378,"capuchin, ringtail, Cebus capucinus",0.77777773,0.84,0.7241379,0.84,0.9996797
379,"howler monkey, howler",0.80373836,0.86,0.75438595,0.86,0.99971974
380,"titi, titi monkey",0.60550463,0.66,0.55932206,0.66,0.9994795
